──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                             Time                    Allocations      
                                                                                                                                    ───────────────────────   ────────────────────────
                                                         Tot / % measured:                                                                735h /   0.6%            589GiB /  99.8%    

Section                                                                                                                     ncalls     time    %tot     avg     alloc    %tot      avg
    add_unit_commitment_variables!                                                                                             100   17.1ms    0.0%   171μs   1.03MiB    0.0%  10.5KiB
    add_power_flow_variables!                                                                                                  100   16.3ms    0.0%   163μs   1.00MiB    0.0%  10.3KiB
    add_hub_constraints!                                                                                                       100   3.16ms    0.0%  31.6μs    200KiB    0.0%  2.00KiB
create EnergyProblem from connection                                                                                           100     726s    4.3%   7.26s   52.4GiB    8.9%   537MiB
  create_internal_structure                                                                                                    100     657s    3.9%   6.57s   50.3GiB    8.6%   515MiB
    create_lowest_resolution_table                                                                                             100     389s    2.3%   3.89s   50.2GiB    8.5%   514MiB
      append t_lowest_all_flows rows                                                                                           100     204s    1.2%   2.04s   25.1GiB    4.3%   257MiB
      append t_lowest_all rows                                                                                                 100     183s    1.1%   1.83s   25.1GiB    4.3%   257MiB
      append t_lowest_flows_relationship rows                                                                                  100   78.1ms    0.0%   781μs    275KiB    0.0%  2.75KiB
      append t_lowest_flows_conversion_balance rows                                                                            100   47.9ms    0.0%   479μs    275KiB    0.0%  2.75KiB
    create_highest_resolution_table                                                                                            100     105s    0.6%   1.05s    887KiB    0.0%  8.87KiB
    create_merged_tables                                                                                                       100    90.8s    0.5%   908ms    637KiB    0.0%  6.37KiB
    create_unrolled_partition_tables                                                                                           100    54.4s    0.3%   544ms   23.4MiB    0.0%   239KiB
    validate data                                                                                                              100    13.6s    0.1%   136ms   90.1MiB    0.0%   923KiB
      has all tables and columns                                                                                               100    7.85s    0.0%  78.5ms   8.43MiB    0.0%  86.3KiB
      no duplicate rows                                                                                                        100    3.01s    0.0%  30.1ms   30.0MiB    0.0%   307KiB
      valid schema's oneOf constraints                                                                                         100    809ms    0.0%  8.09ms   21.1MiB    0.0%   216KiB
      data consistency for simple investment                                                                                   100    614ms    0.0%  6.14ms   5.84MiB    0.0%  59.8KiB
      investable storage assets using binary method should have investment limit > 0                                           100    251ms    0.0%  2.51ms   6.55MiB    0.0%  67.1KiB
      group consistency between tables                                                                                         100    249ms    0.0%  2.49ms   6.78MiB    0.0%  69.4KiB
      consistency between asset_commission and asset_both                                                                      100    248ms    0.0%  2.48ms   3.07MiB    0.0%  31.4KiB
      check DC OPF data                                                                                                        100    190ms    0.0%  1.90ms   2.59MiB    0.0%  26.5KiB
      only transport flows are investable                                                                                      100    161ms    0.0%  1.61ms   1.58MiB    0.0%  16.2KiB
      flow_both only contain transport flows                                                                                   100    128ms    0.0%  1.28ms   2.12MiB    0.0%  21.7KiB
      consistency between asset types and investment methods                                                                   100   91.6ms    0.0%   916μs   1.84MiB    0.0%  18.9KiB
  compute_variables_indices                                                                                                    100    28.1s    0.2%   281ms   2.83MiB    0.0%  29.0KiB
  prepare_profiles_structure                                                                                                   100    22.1s    0.1%   221ms   2.11GiB    0.4%  21.6MiB
  compute_constraints_indices                                                                                                  100    17.5s    0.1%   175ms   21.3MiB    0.0%   218KiB
export_solution_to_csv_files                                                                                                   100     101s    0.6%   1.01s    424KiB    0.0%  4.24KiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
