──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                             Time                    Allocations      
                                                                                                                                    ───────────────────────   ────────────────────────
                                                         Tot / % measured:                                                                731h /   0.1%            362GiB /  99.6%    

Section                                                                                                                     ncalls     time    %tot     avg     alloc    %tot      avg
    add_hub_constraints!                                                                                                       100   2.87ms    0.0%  28.7μs    200KiB    0.0%  2.00KiB
create EnergyProblem from connection                                                                                           100     548s   14.3%   5.48s   41.7GiB   11.6%   427MiB
  create_internal_structure                                                                                                    100     510s   13.3%   5.10s   40.9GiB   11.3%   419MiB
    create_lowest_resolution_table                                                                                             100     314s    8.2%   3.14s   40.8GiB   11.3%   418MiB
      append t_lowest_all_flows rows                                                                                           100     160s    4.2%   1.60s   20.4GiB    5.7%   209MiB
      append t_lowest_all rows                                                                                                 100     150s    3.9%   1.50s   20.4GiB    5.7%   209MiB
      append t_lowest_flows_relationship rows                                                                                  100   82.8ms    0.0%   828μs    275KiB    0.0%  2.75KiB
      append t_lowest_flows_conversion_balance rows                                                                            100   50.9ms    0.0%   509μs    275KiB    0.0%  2.75KiB
    create_highest_resolution_table                                                                                            100    84.5s    2.2%   845ms    887KiB    0.0%  8.87KiB
    create_merged_tables                                                                                                       100    62.3s    1.6%   623ms    637KiB    0.0%  6.37KiB
    create_unrolled_partition_tables                                                                                           100    30.4s    0.8%   304ms   19.0MiB    0.0%   194KiB
    validate data                                                                                                              100    13.1s    0.3%   131ms   90.1MiB    0.0%   923KiB
      has all tables and columns                                                                                               100    7.97s    0.2%  79.7ms   8.43MiB    0.0%  86.3KiB
      no duplicate rows                                                                                                        100    2.28s    0.1%  22.8ms   30.0MiB    0.0%   307KiB
      valid schema's oneOf constraints                                                                                         100    781ms    0.0%  7.81ms   21.1MiB    0.0%   216KiB
      data consistency for simple investment                                                                                   100    692ms    0.0%  6.92ms   5.84MiB    0.0%  59.8KiB
      investable storage assets using binary method should have investment limit > 0                                           100    265ms    0.0%  2.65ms   6.55MiB    0.0%  67.1KiB
      group consistency between tables                                                                                         100    265ms    0.0%  2.65ms   6.78MiB    0.0%  69.4KiB
      consistency between asset_commission and asset_both                                                                      100    253ms    0.0%  2.53ms   3.07MiB    0.0%  31.4KiB
      check DC OPF data                                                                                                        100    199ms    0.0%  1.99ms   2.59MiB    0.0%  26.5KiB
      only transport flows are investable                                                                                      100    161ms    0.0%  1.61ms   1.58MiB    0.0%  16.2KiB
      flow_both only contain transport flows                                                                                   100    136ms    0.0%  1.36ms   2.12MiB    0.0%  21.7KiB
      consistency between asset types and investment methods                                                                   100   91.7ms    0.0%   917μs   1.84MiB    0.0%  18.9KiB
  compute_constraints_indices                                                                                                  100    16.3s    0.4%   163ms   21.3MiB    0.0%   218KiB
  compute_variables_indices                                                                                                    100    13.4s    0.3%   134ms   2.83MiB    0.0%  29.0KiB
  prepare_profiles_structure                                                                                                   100    7.48s    0.2%  74.8ms    735MiB    0.2%  7.35MiB
save_solution!                                                                                                                 100     453s   11.8%   4.53s   58.5GiB   16.2%   599MiB
  compute_dual_variables                                                                                                       100     236s    6.1%   2.36s   46.5MiB    0.0%   476KiB
export_solution_to_csv_files                                                                                                   100    52.6s    1.4%   526ms    420KiB    0.0%  4.20KiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
