profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,167,0.243
availability-wind2030,2030,1,168,0.229
availability-wind2030,2030,1,169,0.214
availability-wind2030,2030,1,170,0.208
availability-wind2030,2030,1,171,0.205
availability-wind2030,2030,1,172,0.205
availability-wind2030,2030,1,173,0.209
availability-wind2030,2030,1,174,0.212
availability-wind2030,2030,1,175,0.217
availability-wind2030,2030,1,176,0.225
availability-wind2030,2030,1,177,0.231
availability-wind2030,2030,1,178,0.225
availability-wind2030,2030,1,179,0.204
availability-wind2030,2030,1,180,0.190
availability-wind2030,2030,1,181,0.191
availability-wind2030,2030,1,182,0.208
availability-wind2030,2030,1,183,0.224
availability-wind2030,2030,1,184,0.227
availability-wind2030,2030,1,185,0.230
availability-wind2030,2030,1,186,0.222
availability-wind2030,2030,1,187,0.203
availability-wind2030,2030,1,188,0.179
availability-wind2030,2030,1,189,0.168
availability-wind2030,2030,1,190,0.172
availability-wind2030,2030,1,191,0.178
availability-wind2030,2030,1,192,0.200
availability-wind2030,2030,1,193,0.246
availability-wind2030,2030,1,194,0.271
availability-wind2030,2030,1,195,0.276
availability-wind2030,2030,1,196,0.279
availability-wind2030,2030,1,197,0.277
availability-wind2030,2030,1,198,0.279
availability-wind2030,2030,1,199,0.289
availability-wind2030,2030,1,200,0.307
availability-wind2030,2030,1,201,0.339
availability-wind2030,2030,1,202,0.355
availability-wind2030,2030,1,203,0.348
availability-wind2030,2030,1,204,0.292
availability-wind2030,2030,1,205,0.256
availability-wind2030,2030,1,206,0.231
availability-wind2030,2030,1,207,0.219
availability-wind2030,2030,1,208,0.210
availability-wind2030,2030,1,209,0.207
availability-wind2030,2030,1,210,0.205
availability-wind2030,2030,1,211,0.192
availability-wind2030,2030,1,212,0.163
availability-wind2030,2030,1,213,0.126
availability-wind2030,2030,1,214,0.100
availability-wind2030,2030,1,215,0.083
availability-wind2030,2030,1,216,0.079
availability-wind2030,2030,1,217,0.074
availability-wind2030,2030,1,218,0.072
availability-wind2030,2030,1,219,0.074
availability-wind2030,2030,1,220,0.069
availability-wind2030,2030,1,221,0.060
availability-wind2030,2030,1,222,0.059
availability-wind2030,2030,1,223,0.054
