profile_name,year,rep_period,timestep,value
availability-wind2030,2030,1,1,0.532765605
availability-wind2030,2030,1,2,0.562523597
availability-wind2030,2030,1,3,0.565829997
availability-wind2030,2030,1,4,0.560329366
availability-wind2030,2030,1,5,0.588469581
availability-wind2030,2030,1,6,0.653235491
availability-wind2030,2030,1,7,0.732365894
availability-wind2030,2030,1,8,0.81444143
availability-wind2030,2030,1,9,0.864658164
availability-wind2030,2030,1,10,0.892704182
availability-wind2030,2030,1,11,0.910129058
availability-wind2030,2030,1,12,0.92622701
availability-wind2030,2030,1,13,0.943080872
availability-wind2030,2030,1,14,0.947883356
availability-wind2030,2030,1,15,0.948320184
availability-wind2030,2030,1,16,0.916158161
availability-wind2030,2030,1,17,0.859582147
availability-wind2030,2030,1,18,0.834085085
availability-wind2030,2030,1,19,0.821845299
availability-wind2030,2030,1,20,0.818648758
availability-wind2030,2030,1,21,0.75739588
availability-wind2030,2030,1,22,0.755535599
availability-wind2030,2030,1,23,0.83387851
availability-wind2030,2030,1,24,0.878408373
availability-wind2030,2030,1,25,0.90533799
availability-wind2030,2030,1,26,0.933581725
availability-wind2030,2030,1,27,0.928233233
availability-wind2030,2030,1,28,0.933788517
availability-wind2030,2030,1,29,0.941334341
availability-wind2030,2030,1,30,0.943264338
availability-wind2030,2030,1,31,0.942655288
availability-wind2030,2030,1,32,0.93896077
availability-wind2030,2030,1,33,0.933500589
availability-wind2030,2030,1,34,0.932315326
availability-wind2030,2030,1,35,0.923832491
availability-wind2030,2030,1,36,0.917046928
availability-wind2030,2030,1,37,0.897593522
availability-wind2030,2030,1,38,0.87286473
availability-wind2030,2030,1,39,0.860016617
availability-wind2030,2030,1,40,0.850513433
availability-wind2030,2030,1,41,0.87450308
availability-wind2030,2030,1,42,0.920983074
availability-wind2030,2030,1,43,0.917978272
availability-wind2030,2030,1,44,0.906146602
availability-wind2030,2030,1,45,0.893139511
availability-wind2030,2030,1,46,0.88045041
availability-wind2030,2030,1,47,0.813570875
availability-wind2030,2030,1,48,0.79079198
availability-wind2030,2030,1,49,0.767588642
availability-wind2030,2030,1,50,0.731048281
availability-wind2030,2030,1,51,0.718960446
availability-wind2030,2030,1,52,0.740265902
availability-wind2030,2030,1,53,0.783184269
availability-wind2030,2030,1,54,0.88420453
availability-wind2030,2030,1,55,0.92828461
availability-wind2030,2030,1,56,0.926768084
availability-wind2030,2030,1,57,0.925307775
availability-wind2030,2030,1,58,0.92754626
availability-wind2030,2030,1,59,0.934354267
availability-wind2030,2030,1,60,0.916020891
availability-wind2030,2030,1,61,0.939742359
availability-wind2030,2030,1,62,0.941437309
availability-wind2030,2030,1,63,0.938745235
availability-wind2030,2030,1,64,0.918278226
availability-wind2030,2030,1,65,0.898719155
availability-wind2030,2030,1,66,0.880126333
availability-wind2030,2030,1,67,0.863182957
availability-wind2030,2030,1,68,0.859674897
availability-wind2030,2030,1,69,0.87484008
availability-wind2030,2030,1,70,0.898745612
availability-wind2030,2030,1,71,0.905340582
availability-wind2030,2030,1,72,0.923138764
availability-wind2030,2030,1,73,0.922880226
availability-wind2030,2030,1,74,0.903354161
availability-wind2030,2030,1,75,0.889843423
availability-wind2030,2030,1,76,0.890702017
availability-wind2030,2030,1,77,0.897394769
availability-wind2030,2030,1,78,0.920733565
availability-wind2030,2030,1,79,0.932617443
availability-wind2030,2030,1,80,0.939145715
availability-wind2030,2030,1,81,0.942459932
availability-wind2030,2030,1,82,0.947368249
availability-wind2030,2030,1,83,0.947237759
availability-wind2030,2030,1,84,0.941709575
availability-wind2030,2030,1,85,0.934717025
availability-wind2030,2030,1,86,0.936935349
availability-wind2030,2030,1,87,0.916604629
availability-wind2030,2030,1,88,0.888417536
availability-wind2030,2030,1,89,0.826639674
availability-wind2030,2030,1,90,0.739216931
availability-wind2030,2030,1,91,0.69097723
availability-wind2030,2030,1,92,0.669145959
availability-wind2030,2030,1,93,0.661504097
availability-wind2030,2030,1,94,0.674321365
availability-wind2030,2030,1,95,0.622691399
availability-wind2030,2030,1,96,0.595706005
availability-wind2030,2030,1,97,0.574591668
availability-wind2030,2030,1,98,0.523559462
availability-wind2030,2030,1,99,0.48198599
availability-wind2030,2030,1,100,0.436311945
availability-wind2030,2030,1,101,0.37126013
availability-wind2030,2030,1,102,0.341749961
availability-wind2030,2030,1,103,0.356809324
availability-wind2030,2030,1,104,0.37679582
availability-wind2030,2030,1,105,0.396880003
availability-wind2030,2030,1,106,0.414615428
availability-wind2030,2030,1,107,0.423300522
availability-wind2030,2030,1,108,0.460530461
availability-wind2030,2030,1,109,0.47184038
availability-wind2030,2030,1,110,0.471482342
availability-wind2030,2030,1,111,0.468814075
availability-wind2030,2030,1,112,0.463169654
availability-wind2030,2030,1,113,0.440025891
availability-wind2030,2030,1,114,0.387174093
availability-wind2030,2030,1,115,0.334402548
availability-wind2030,2030,1,116,0.291984987
availability-wind2030,2030,1,117,0.262257397
availability-wind2030,2030,1,118,0.264951812
availability-wind2030,2030,1,119,0.280825147
availability-wind2030,2030,1,120,0.304108494
availability-wind2030,2030,1,121,0.357843816
availability-wind2030,2030,1,122,0.412539143
availability-wind2030,2030,1,123,0.431086775
availability-wind2030,2030,1,124,0.443909771
availability-wind2030,2030,1,125,0.472168367
availability-wind2030,2030,1,126,0.499457727
availability-wind2030,2030,1,127,0.516578741
availability-wind2030,2030,1,128,0.532391636
availability-wind2030,2030,1,129,0.528379702
availability-wind2030,2030,1,130,0.496703232
availability-wind2030,2030,1,131,0.384259365
availability-wind2030,2030,1,132,0.343142751
availability-wind2030,2030,1,133,0.335372999
availability-wind2030,2030,1,134,0.346707153
availability-wind2030,2030,1,135,0.408634691
availability-wind2030,2030,1,136,0.547124371
availability-wind2030,2030,1,137,0.664561437
availability-wind2030,2030,1,138,0.683952164
availability-wind2030,2030,1,139,0.701929376
availability-wind2030,2030,1,140,0.747775166
availability-wind2030,2030,1,141,0.756011933
availability-wind2030,2030,1,142,0.746971219
availability-wind2030,2030,1,143,0.678032541
availability-wind2030,2030,1,144,0.682231219
availability-wind2030,2030,1,145,0.705004719
availability-wind2030,2030,1,146,0.740664162
availability-wind2030,2030,1,147,0.767371144
availability-wind2030,2030,1,148,0.804073388
availability-wind2030,2030,1,149,0.831004604
availability-wind2030,2030,1,150,0.841122187
availability-wind2030,2030,1,151,0.82108194
availability-wind2030,2030,1,152,0.796378966
availability-wind2030,2030,1,153,0.770659872
availability-wind2030,2030,1,154,0.737991173
availability-wind2030,2030,1,155,0.706236937
availability-wind2030,2030,1,156,0.682614061
availability-wind2030,2030,1,157,0.693565676
availability-wind2030,2030,1,158,0.720575887
availability-wind2030,2030,1,159,0.731309504
availability-wind2030,2030,1,160,0.724365342
availability-wind2030,2030,1,161,0.727678968
availability-wind2030,2030,1,162,0.725031658
availability-wind2030,2030,1,163,0.742403699
availability-wind2030,2030,1,164,0.759453235
availability-wind2030,2030,1,165,0.786246414
availability-wind2030,2030,1,166,0.806810121
availability-wind2030,2030,1,167,0.817233074
availability-wind2030,2030,1,168,0.794187827
availability-wind2030,2030,1,169,0.786368554
availability-wind2030,2030,1,170,0.777341955
availability-wind2030,2030,1,171,0.759663994
availability-wind2030,2030,1,172,0.750112453
availability-wind2030,2030,1,173,0.724197463
availability-wind2030,2030,1,174,0.717746536
availability-wind2030,2030,1,175,0.678548722
availability-wind2030,2030,1,176,0.652307032
availability-wind2030,2030,1,177,0.647529038
availability-wind2030,2030,1,178,0.66475729
availability-wind2030,2030,1,179,0.671205634
availability-wind2030,2030,1,180,0.669440467
availability-wind2030,2030,1,181,0.644137143
availability-wind2030,2030,1,182,0.62573306
availability-wind2030,2030,1,183,0.57396099
availability-wind2030,2030,1,184,0.512601484
availability-wind2030,2030,1,185,0.45356006
availability-wind2030,2030,1,186,0.440209028
availability-wind2030,2030,1,187,0.443845627
availability-wind2030,2030,1,188,0.455977178
availability-wind2030,2030,1,189,0.460081501
availability-wind2030,2030,1,190,0.470270259
availability-wind2030,2030,1,191,0.478731089
availability-wind2030,2030,1,192,0.493875809
availability-wind2030,2030,1,193,0.494882944
availability-wind2030,2030,1,194,0.499665753
availability-wind2030,2030,1,195,0.513439184
availability-wind2030,2030,1,196,0.540799078
availability-wind2030,2030,1,197,0.575784355
availability-wind2030,2030,1,198,0.631457842
availability-wind2030,2030,1,199,0.69445734
availability-wind2030,2030,1,200,0.777599461
availability-wind2030,2030,1,201,0.86015542
availability-wind2030,2030,1,202,0.903477913
availability-wind2030,2030,1,203,0.890692048
availability-wind2030,2030,1,204,0.871802003
availability-wind2030,2030,1,205,0.853787089
availability-wind2030,2030,1,206,0.834250761
availability-wind2030,2030,1,207,0.82518636
availability-wind2030,2030,1,208,0.828443238
availability-wind2030,2030,1,209,0.834935542
availability-wind2030,2030,1,210,0.856402457
availability-wind2030,2030,1,211,0.890172425
availability-wind2030,2030,1,212,0.912469396
availability-wind2030,2030,1,213,0.929366749
availability-wind2030,2030,1,214,0.934046709
availability-wind2030,2030,1,215,0.924954878
availability-wind2030,2030,1,216,0.918978471
availability-wind2030,2030,1,217,0.921883615
availability-wind2030,2030,1,218,0.920425797
availability-wind2030,2030,1,219,0.910708285
availability-wind2030,2030,1,220,0.893912904
availability-wind2030,2030,1,221,0.88166989
availability-wind2030,2030,1,222,0.875523165
availability-wind2030,2030,1,223,0.87009534
availability-wind2030,2030,1,224,0.868980924
availability-wind2030,2030,1,225,0.870348058
availability-wind2030,2030,1,226,0.873122805
availability-wind2030,2030,1,227,0.863146127
availability-wind2030,2030,1,228,0.863973618
availability-wind2030,2030,1,229,0.857458738
availability-wind2030,2030,1,230,0.841596704
availability-wind2030,2030,1,231,0.827031207
availability-wind2030,2030,1,232,0.814880505
availability-wind2030,2030,1,233,0.795324678
availability-wind2030,2030,1,234,0.763160023
availability-wind2030,2030,1,235,0.732804012
availability-wind2030,2030,1,236,0.71131978
availability-wind2030,2030,1,237,0.697222086
availability-wind2030,2030,1,238,0.684090254
availability-wind2030,2030,1,239,0.659323654
availability-wind2030,2030,1,240,0.650863012
availability-wind2030,2030,1,241,0.649639026
availability-wind2030,2030,1,242,0.643834363
availability-wind2030,2030,1,243,0.642170454
availability-wind2030,2030,1,244,0.637970261
availability-wind2030,2030,1,245,0.637236305
availability-wind2030,2030,1,246,0.661311057
availability-wind2030,2030,1,247,0.703825017
availability-wind2030,2030,1,248,0.725877787
availability-wind2030,2030,1,249,0.734035631
availability-wind2030,2030,1,250,0.731389725
availability-wind2030,2030,1,251,0.712956965
availability-wind2030,2030,1,252,0.747939044
availability-wind2030,2030,1,253,0.795142692
availability-wind2030,2030,1,254,0.802486634
availability-wind2030,2030,1,255,0.810616211
availability-wind2030,2030,1,256,0.818057988
availability-wind2030,2030,1,257,0.84534612
availability-wind2030,2030,1,258,0.864031695
availability-wind2030,2030,1,259,0.866505704
availability-wind2030,2030,1,260,0.854757166
availability-wind2030,2030,1,261,0.838969081
availability-wind2030,2030,1,262,0.843449783
availability-wind2030,2030,1,263,0.789703443
availability-wind2030,2030,1,264,0.780439294
availability-wind2030,2030,1,265,0.747617976
availability-wind2030,2030,1,266,0.762140052
availability-wind2030,2030,1,267,0.783740025
availability-wind2030,2030,1,268,0.787849922
availability-wind2030,2030,1,269,0.793510407
availability-wind2030,2030,1,270,0.781983769
availability-wind2030,2030,1,271,0.790242262
availability-wind2030,2030,1,272,0.773005233
availability-wind2030,2030,1,273,0.712154989
availability-wind2030,2030,1,274,0.659345864
availability-wind2030,2030,1,275,0.575930038
availability-wind2030,2030,1,276,0.525615317
availability-wind2030,2030,1,277,0.480030603
availability-wind2030,2030,1,278,0.484949564
availability-wind2030,2030,1,279,0.506286637
availability-wind2030,2030,1,280,0.52099664
availability-wind2030,2030,1,281,0.546901453
availability-wind2030,2030,1,282,0.566083567
availability-wind2030,2030,1,283,0.56713936
availability-wind2030,2030,1,284,0.577542957
availability-wind2030,2030,1,285,0.589559634
availability-wind2030,2030,1,286,0.611957689
availability-wind2030,2030,1,287,0.580624763
availability-wind2030,2030,1,288,0.582269472
availability-wind2030,2030,1,289,0.554990865
availability-wind2030,2030,1,290,0.522065927
availability-wind2030,2030,1,291,0.507050178
availability-wind2030,2030,1,292,0.489834497
availability-wind2030,2030,1,293,0.468095755
availability-wind2030,2030,1,294,0.485549862
availability-wind2030,2030,1,295,0.520694895
availability-wind2030,2030,1,296,0.560139073
availability-wind2030,2030,1,297,0.580818554
availability-wind2030,2030,1,298,0.567506714
availability-wind2030,2030,1,299,0.57254875
availability-wind2030,2030,1,300,0.597172325
availability-wind2030,2030,1,301,0.629546096
availability-wind2030,2030,1,302,0.604557313
availability-wind2030,2030,1,303,0.568365702
availability-wind2030,2030,1,304,0.534872549
availability-wind2030,2030,1,305,0.522464002
availability-wind2030,2030,1,306,0.503718319
availability-wind2030,2030,1,307,0.489786333
availability-wind2030,2030,1,308,0.491703354
availability-wind2030,2030,1,309,0.509363756
availability-wind2030,2030,1,310,0.519219978
availability-wind2030,2030,1,311,0.566571404
availability-wind2030,2030,1,312,0.548055479
availability-wind2030,2030,1,313,0.541235894
availability-wind2030,2030,1,314,0.545867335
availability-wind2030,2030,1,315,0.587907248
availability-wind2030,2030,1,316,0.645980359
availability-wind2030,2030,1,317,0.690691315
availability-wind2030,2030,1,318,0.705268589
availability-wind2030,2030,1,319,0.712736517
availability-wind2030,2030,1,320,0.721131836
availability-wind2030,2030,1,321,0.733496131
availability-wind2030,2030,1,322,0.741624531
availability-wind2030,2030,1,323,0.776884832
availability-wind2030,2030,1,324,0.789967595
availability-wind2030,2030,1,325,0.790531461
availability-wind2030,2030,1,326,0.793469922
availability-wind2030,2030,1,327,0.800510839
availability-wind2030,2030,1,328,0.812860979
availability-wind2030,2030,1,329,0.814103282
availability-wind2030,2030,1,330,0.806834131
availability-wind2030,2030,1,331,0.810597554
availability-wind2030,2030,1,332,0.81891256
availability-wind2030,2030,1,333,0.828458585
availability-wind2030,2030,1,334,0.840950989
availability-wind2030,2030,1,335,0.846472692
availability-wind2030,2030,1,336,0.823710969
availability-wind2030,2030,1,337,0.80202261
availability-wind2030,2030,1,338,0.788754032
availability-wind2030,2030,1,339,0.786286104
availability-wind2030,2030,1,340,0.778669624
availability-wind2030,2030,1,341,0.767006938
availability-wind2030,2030,1,342,0.757501535
availability-wind2030,2030,1,343,0.745197257
availability-wind2030,2030,1,344,0.735464916
availability-wind2030,2030,1,345,0.731820558
availability-wind2030,2030,1,346,0.730163193
availability-wind2030,2030,1,347,0.721998375
availability-wind2030,2030,1,348,0.719269761
availability-wind2030,2030,1,349,0.724129858
availability-wind2030,2030,1,350,0.720027484
availability-wind2030,2030,1,351,0.719041494
availability-wind2030,2030,1,352,0.716768636
availability-wind2030,2030,1,353,0.714789244
availability-wind2030,2030,1,354,0.710046546
availability-wind2030,2030,1,355,0.71077926
availability-wind2030,2030,1,356,0.715872352
availability-wind2030,2030,1,357,0.719128578
availability-wind2030,2030,1,358,0.723637835
availability-wind2030,2030,1,359,0.75661387
availability-wind2030,2030,1,360,0.781195856
availability-wind2030,2030,1,361,0.831301038
availability-wind2030,2030,1,362,0.872665452
availability-wind2030,2030,1,363,0.896407805
availability-wind2030,2030,1,364,0.897444596
availability-wind2030,2030,1,365,0.921703609
availability-wind2030,2030,1,366,0.925577344
availability-wind2030,2030,1,367,0.922568448
availability-wind2030,2030,1,368,0.916872882
availability-wind2030,2030,1,369,0.899428659
availability-wind2030,2030,1,370,0.867941002
availability-wind2030,2030,1,371,0.786078103
availability-wind2030,2030,1,372,0.749505476
availability-wind2030,2030,1,373,0.762990574
availability-wind2030,2030,1,374,0.797265082
availability-wind2030,2030,1,375,0.824179263
availability-wind2030,2030,1,376,0.838402704
availability-wind2030,2030,1,377,0.846089964
availability-wind2030,2030,1,378,0.875520554
availability-wind2030,2030,1,379,0.908548955
availability-wind2030,2030,1,380,0.911564743
availability-wind2030,2030,1,381,0.90264364
availability-wind2030,2030,1,382,0.890595761
availability-wind2030,2030,1,383,0.888042457
availability-wind2030,2030,1,384,0.869820548
availability-wind2030,2030,1,385,0.84611684
availability-wind2030,2030,1,386,0.809726736
