──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                      331s / 100.0%           6.83GiB / 100.0%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
    add_shut_down_upper_bound_constraints!                                                                                                   1   4.24ms    0.0%  4.24ms   9.80KiB    0.0%  9.80KiB
    add_min_output_flow_without_unit_commitment_constraints!                                                                                 1   3.92ms    0.0%  3.92ms   8.64KiB    0.0%  8.64KiB
    add_storage_expressions!                                                                                                                 1   3.18ms    0.0%  3.18ms   9.61KiB    0.0%  9.61KiB
    add_dc_power_flow_constraints!                                                                                                           1   3.06ms    0.0%  3.06ms   8.33KiB    0.0%  8.33KiB
    add_flows_relationships_constraints!                                                                                                     1   2.84ms    0.0%  2.84ms   9.62KiB    0.0%  9.62KiB
    add_uc_logic_constraints!                                                                                                                1   2.64ms    0.0%  2.64ms   10.3KiB    0.0%  10.3KiB
    add_scenario_tail_excess_expressions!                                                                                                    1   2.62ms    0.0%  2.62ms   3.34KiB    0.0%  3.34KiB
    add_energy_constraints!                                                                                                                  1   2.25ms    0.0%  2.25ms   7.75KiB    0.0%  7.75KiB
    add_investment_group_constraints!                                                                                                        1   2.16ms    0.0%  2.16ms   5.80KiB    0.0%  5.80KiB
    add_storage_variables!                                                                                                                   1   1.71ms    0.0%  1.71ms   13.5KiB    0.0%  13.5KiB
    add_vintage_flow_sum_constraints!                                                                                                        1   1.70ms    0.0%  1.70ms   5.17KiB    0.0%  5.17KiB
    add_vintage_flow_variables!                                                                                                              1   1.61ms    0.0%  1.61ms   5.36KiB    0.0%  5.36KiB
    add_start_up_upper_bound_constraints!                                                                                                    1   1.40ms    0.0%  1.40ms   7.56KiB    0.0%  7.56KiB
    add_conversion_constraints!                                                                                                              1   1.38ms    0.0%  1.38ms   3.39KiB    0.0%  3.39KiB
    get_model_parameters!                                                                                                                    1    756μs    0.0%   756μs   5.33KiB    0.0%  5.33KiB
    add_scenario_tail_excess_constraints!                                                                                                    1    606μs    0.0%   606μs      544B    0.0%     544B
    add_investment_variables!                                                                                                                1    122μs    0.0%   122μs   10.9KiB    0.0%  10.9KiB
    add_decommission_variables!                                                                                                              1   79.3μs    0.0%  79.3μs   11.3KiB    0.0%  11.3KiB
    add_conditional_value_at_risk_variables!                                                                                                 1   18.5μs    0.0%  18.5μs   2.11KiB    0.0%  2.11KiB
    add_start_up_and_shut_down_variables!                                                                                                    1   13.6μs    0.0%  13.6μs   4.22KiB    0.0%  4.22KiB
    add_unit_commitment_variables!                                                                                                           1   12.0μs    0.0%  12.0μs   2.11KiB    0.0%  2.11KiB
    add_power_flow_variables!                                                                                                                1   10.0μs    0.0%  10.0μs   1.88KiB    0.0%  1.88KiB
save_solution!                                                                                                                               1    7.17s    2.2%   7.17s   1.06GiB   15.5%  1.06GiB
  compute_dual_variables                                                                                                                     1    3.51s    1.1%   3.51s   11.5KiB    0.0%  11.5KiB
create EnergyProblem from connection                                                                                                         1    3.53s    1.1%   3.53s    721MiB   10.3%   721MiB
  create_internal_structure                                                                                                                  1    3.17s    1.0%   3.17s    715MiB   10.2%   715MiB
    create_lowest_resolution_table                                                                                                           1    1.49s    0.4%   1.49s    715MiB   10.2%   715MiB
      append t_lowest_all rows                                                                                                               1    783ms    0.2%   783ms    357MiB    5.1%   357MiB
      append t_lowest_all_flows rows                                                                                                         1    689ms    0.2%   689ms    357MiB    5.1%   357MiB
      append t_lowest_flows_relationship rows                                                                                                1    854μs    0.0%   854μs   2.52KiB    0.0%  2.52KiB
      append t_lowest_flows_conversion_balance rows                                                                                          1    597μs    0.0%   597μs   2.53KiB    0.0%  2.53KiB
    create_merged_tables                                                                                                                     1    706ms    0.2%   706ms   6.84KiB    0.0%  6.84KiB
    create_highest_resolution_table                                                                                                          1    687ms    0.2%   687ms   8.31KiB    0.0%  8.31KiB
    create_unrolled_partition_tables                                                                                                         1    183ms    0.1%   183ms   86.2KiB    0.0%  86.2KiB
    validate data                                                                                                                            1   90.3ms    0.0%  90.3ms    228KiB    0.0%   228KiB
      no duplicate rows                                                                                                                      1   35.5ms    0.0%  35.5ms   50.0KiB    0.0%  50.0KiB
      has all tables and columns                                                                                                             1   28.7ms    0.0%  28.7ms   70.2KiB    0.0%  70.2KiB
      data consistency for aggregated vintage method                                                                                         1   4.80ms    0.0%  4.80ms   7.00KiB    0.0%  7.00KiB
      valid schema's oneOf constraints                                                                                                       1   4.24ms    0.0%  4.24ms   49.1KiB    0.0%  49.1KiB
      consistency between flow_commission and asset_both                                                                                     1   2.71ms    0.0%  2.71ms   2.73KiB    0.0%  2.73KiB
      group consistency between tables                                                                                                       1   2.23ms    0.0%  2.23ms   5.45KiB    0.0%  5.45KiB
      consistency between asset_commission and asset_both                                                                                    1   2.21ms    0.0%  2.21ms   2.73KiB    0.0%  2.73KiB
      commodity_price profiles require commodity_price > 0                                                                                   1   2.13ms    0.0%  2.13ms   3.77KiB    0.0%  3.77KiB
      investable storage assets using binary method should have investment limit > 0                                                         1   1.45ms    0.0%  1.45ms   2.27KiB    0.0%  2.27KiB
      check DC OPF data                                                                                                                      1   1.11ms    0.0%  1.11ms   3.50KiB    0.0%  3.50KiB
      only transport flows are investable                                                                                                    1    959μs    0.0%   959μs   1.23KiB    0.0%  1.23KiB
      flow_both only contain transport flows                                                                                                 1    917μs    0.0%   917μs   2.00KiB    0.0%  2.00KiB
      consumer unit commitment used as bids has right data                                                                                   1    897μs    0.0%   897μs   5.23KiB    0.0%  5.23KiB
      consistency between investable and asset_both                                                                                          1    762μs    0.0%   762μs   1.23KiB    0.0%  1.23KiB
      stochastic scenario probabilities sum to 1                                                                                             1    490μs    0.0%   490μs   3.08KiB    0.0%  3.08KiB
      model_parameters discount_year is valid                                                                                                1    433μs    0.0%   433μs   3.03KiB    0.0%  3.03KiB
      consumer assets use the aggregated vintage method                                                                                      1    433μs    0.0%   433μs   1.50KiB    0.0%  1.50KiB
      model_parameters has exactly one row                                                                                                   1    250μs    0.0%   250μs   1.56KiB    0.0%  1.56KiB
  compute_constraints_indices                                                                                                                1    202ms    0.1%   202ms    193KiB    0.0%   193KiB
  compute_variables_indices                                                                                                                  1    121ms    0.0%   121ms   39.5KiB    0.0%  39.5KiB
  prepare_profiles_structure                                                                                                                 1   35.3ms    0.0%  35.3ms   5.90MiB    0.1%  5.90MiB
export_solution_to_csv_files                                                                                                                 1    572ms    0.2%   572ms    136KiB    0.0%   136KiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
