──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     64.4s / 100.0%           5.99GiB / 100.0%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
    add_shut_down_upper_bound_constraints!                                                                                                   1   7.04ms    0.0%  7.04ms   9.80KiB    0.0%  9.80KiB
    add_dc_power_flow_constraints!                                                                                                           1   5.71ms    0.0%  5.71ms   8.33KiB    0.0%  8.33KiB
    add_min_output_flow_without_unit_commitment_constraints!                                                                                 1   5.61ms    0.0%  5.61ms   8.64KiB    0.0%  8.64KiB
    add_energy_constraints!                                                                                                                  1   5.56ms    0.0%  5.56ms   7.75KiB    0.0%  7.75KiB
    add_storage_expressions!                                                                                                                 1   4.77ms    0.0%  4.77ms   9.61KiB    0.0%  9.61KiB
    add_flows_relationships_constraints!                                                                                                     1   3.58ms    0.0%  3.58ms   9.62KiB    0.0%  9.62KiB
    add_storage_variables!                                                                                                                   1   3.58ms    0.0%  3.58ms   13.5KiB    0.0%  13.5KiB
    add_investment_group_constraints!                                                                                                        1   3.33ms    0.0%  3.33ms   5.80KiB    0.0%  5.80KiB
    add_scenario_tail_excess_expressions!                                                                                                    1   3.14ms    0.0%  3.14ms   3.34KiB    0.0%  3.34KiB
    add_uc_logic_constraints!                                                                                                                1   2.99ms    0.0%  2.99ms   10.3KiB    0.0%  10.3KiB
    add_vintage_flow_variables!                                                                                                              1   2.89ms    0.0%  2.89ms   5.36KiB    0.0%  5.36KiB
    add_vintage_flow_sum_constraints!                                                                                                        1   2.65ms    0.0%  2.65ms   5.17KiB    0.0%  5.17KiB
    add_start_up_upper_bound_constraints!                                                                                                    1   2.02ms    0.0%  2.02ms   7.56KiB    0.0%  7.56KiB
    get_model_parameters!                                                                                                                    1   1.25ms    0.0%  1.25ms   5.33KiB    0.0%  5.33KiB
    add_conversion_constraints!                                                                                                              1   1.08ms    0.0%  1.08ms   3.39KiB    0.0%  3.39KiB
    add_scenario_tail_excess_constraints!                                                                                                    1    501μs    0.0%   501μs      544B    0.0%     544B
    add_investment_variables!                                                                                                                1    219μs    0.0%   219μs   10.9KiB    0.0%  10.9KiB
    add_decommission_variables!                                                                                                              1    163μs    0.0%   163μs   11.3KiB    0.0%  11.3KiB
    add_start_up_and_shut_down_variables!                                                                                                    1   22.2μs    0.0%  22.2μs   4.22KiB    0.0%  4.22KiB
    add_conditional_value_at_risk_variables!                                                                                                 1   21.3μs    0.0%  21.3μs   2.11KiB    0.0%  2.11KiB
    add_unit_commitment_variables!                                                                                                           1   17.1μs    0.0%  17.1μs   2.11KiB    0.0%  2.11KiB
    add_power_flow_variables!                                                                                                                1   15.1μs    0.0%  15.1μs   1.88KiB    0.0%  1.88KiB
save_solution!                                                                                                                               1    6.94s   10.8%   6.94s   0.96GiB   16.1%  0.96GiB
  compute_dual_variables                                                                                                                     1    2.72s    4.2%   2.72s   11.5KiB    0.0%  11.5KiB
create EnergyProblem from connection                                                                                                         1    3.37s    5.2%   3.37s    595MiB    9.7%   595MiB
  create_internal_structure                                                                                                                  1    2.96s    4.6%   2.96s    589MiB    9.6%   589MiB
    create_lowest_resolution_table                                                                                                           1    1.34s    2.1%   1.34s    588MiB    9.6%   588MiB
      append t_lowest_all rows                                                                                                               1    753ms    1.2%   753ms    294MiB    4.8%   294MiB
      append t_lowest_all_flows rows                                                                                                         1    557ms    0.9%   557ms    294MiB    4.8%   294MiB
      append t_lowest_flows_conversion_balance rows                                                                                          1   1.23ms    0.0%  1.23ms   2.53KiB    0.0%  2.53KiB
      append t_lowest_flows_relationship rows                                                                                                1   1.04ms    0.0%  1.04ms   2.52KiB    0.0%  2.52KiB
    create_highest_resolution_table                                                                                                          1    704ms    1.1%   704ms   8.31KiB    0.0%  8.31KiB
    create_merged_tables                                                                                                                     1    616ms    1.0%   616ms   6.84KiB    0.0%  6.84KiB
    create_unrolled_partition_tables                                                                                                         1    151ms    0.2%   151ms   72.7KiB    0.0%  72.7KiB
    validate data                                                                                                                            1    121ms    0.2%   121ms    228KiB    0.0%   228KiB
      no duplicate rows                                                                                                                      1   44.7ms    0.1%  44.7ms   50.0KiB    0.0%  50.0KiB
      has all tables and columns                                                                                                             1   37.5ms    0.1%  37.5ms   70.2KiB    0.0%  70.2KiB
