──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     63.5s /  99.5%           7.22GiB /  99.6%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
    add_storage_constraints!                                                                                                                 1    102ms    0.2%   102ms   9.19MiB    0.1%  9.19MiB
    prepare_objective_tables!                                                                                                                1   70.4ms    0.1%  70.4ms   3.34MiB    0.0%  3.34MiB
    get_model_parameters!                                                                                                                    1   43.4ms    0.1%  43.4ms   2.38MiB    0.0%  2.38MiB
    add_storage_variables!                                                                                                                   1   42.9ms    0.1%  42.9ms   2.60MiB    0.0%  2.60MiB
    add_dc_power_flow_constraints!                                                                                                           1   32.5ms    0.1%  32.5ms   2.07MiB    0.0%  2.07MiB
    add_shut_down_upper_bound_constraints!                                                                                                   1   26.2ms    0.0%  26.2ms   1.30MiB    0.0%  1.30MiB
    add_min_output_flow_without_unit_commitment_constraints!                                                                                 1   25.6ms    0.0%  25.6ms   1.30MiB    0.0%  1.30MiB
    add_flows_relationships_constraints!                                                                                                     1   25.4ms    0.0%  25.4ms   1.30MiB    0.0%  1.30MiB
    add_energy_constraints!                                                                                                                  1   24.1ms    0.0%  24.1ms   1.30MiB    0.0%  1.30MiB
    add_conditional_value_at_risk_variables!                                                                                                 1   18.3ms    0.0%  18.3ms   1.29MiB    0.0%  1.29MiB
    add_storage_expressions!                                                                                                                 1   14.7ms    0.0%  14.7ms    674KiB    0.0%   674KiB
    add_vintage_flow_variables!                                                                                                              1   13.4ms    0.0%  13.4ms    670KiB    0.0%   670KiB
    add_vintage_flow_sum_constraints!                                                                                                        1   12.7ms    0.0%  12.7ms    665KiB    0.0%   665KiB
    add_uc_logic_constraints!                                                                                                                1   12.6ms    0.0%  12.6ms    669KiB    0.0%   669KiB
    add_investment_group_constraints!                                                                                                        1   12.2ms    0.0%  12.2ms    666KiB    0.0%   666KiB
    add_start_up_upper_bound_constraints!                                                                                                    1   11.5ms    0.0%  11.5ms    668KiB    0.0%   668KiB
